"WK" "CPU_CLOCKS_UNHALTED" "INSTRUCTIONS_RETIRED" "UOPS_RETIRED" "DISPATCH_STALLS" "DISPATCHED_FAST_FPU" "BRANCH_MISPREDICT_RETIRED" "POWER"
5 63079850349 65184038066 65517588607 28013707996 1599052173 571372928 99.5125
5 63139063804 64176723417 64508284996 28304736597 1555715369 581118258 99.6125
5 62437662375 63171720339 63501117364 28695282718 1526920779 577138682 99.525
5 62383169743 63511045313 63822029193 28572779484 1544407200 574768561 99.425
5 62968620549 64626042474 64946309336 28121784978 1601753027 568037696 99.5625
5 62487070774 65927659878 66260636622 27576159418 1673082402 561304636 99.675
5 62546492669 67514716102 67862317168 27094701626 1740405140 559150421 99.775
5 62314132971 67408049079 67770097329 26851569182 1740349606 555207975 99.7875
5 6346102508 6938290520 7090780299 5379801877 199001738 65205545 63.4625
6 59110023312 62996929944 68363322696 33674168282 1297569265 100604365 89.3
6 64015969935 69369362439 71473691467 30903738676 716405993 360128411 101.0875
6 63187492059 70321701695 72664814443 30151203101 772737499 400299104 100.5
6 63879987948 73171773479 75575160137 27698281956 683460210 483369790 100.8625
6 63816787204 73060709708 75542713818 27460987104 673649339 497910384 101.225
6 63873914747 74391487507 76948728669 27216659770 716643054 493907933 101.375
6 63846119641 75909839321 78593129160 26061826178 680127897 525245447 101.475
6 63915730721 75511804574 78317987899 25674303118 701834349 544876656 101.5625
6 63770488993 76847388844 79661129583 24622271350 693340310 568068764 101.4875
6 63883723215 75665837990 78385251698 25136234914 708192896 548139960 101.625
6 63857628252 77327345705 80218441881 24697604472 743776421 562560070 101.575
6 63799248069 76263501073 79058517273 25816115027 671428746 548934976 101.625
6 63904544154 75044755261 77621268188 26236714838 710762663 529058567 101.6375
6 63857978259 76794694212 79400296281 24546149748 703687948 559101035 101.65
6 63824280711 79082966782 82110033471 23376581184 693171617 600789869 101.7625
6 63851955680 78852577737 81860383464 23066910732 689209715 601524785 101.85
6 63777006993 79655838426 82978237780 22948449211 694265543 607250102 101.9125
6 63857626490 78991198222 82237388926 23903942150 712798164 569482295 101.8625
6 63812492370 78095160590 81084274540 23040671409 680899328 610317789 101.85
6 63784017306 78618836486 81758604544 23588328892 732294897 599881228 101.7875
6 63877645177 77659849169 80561103085 24949975367 707878662 571471181 101.775
6 63944295780 77623439861 80320114392 23753455804 691858870 602528079 101.85
6 63901293338 78602691917 81578219247 23268921348 696950478 605519753 101.8125
6 63873533910 78679996123 81717534019 23731727826 719597246 589836971 101.7875
6 63886662894 79807793999 82874264888 22843755395 717745496 616459748 101.7
6 63944033854 79831693652 83070476582 23171030843 722634700 594767613 101.75
6 63846920621 79114096178 82300327366 23613196452 691528084 596409759 101.7875
6 63943859914 77490682337 80441249214 23960761616 724758354 596393180 101.7625
6 63930223662 78970539630 81987946645 23097065115 715720470 620923812 101.55
6 63876663950 79068990517 82306925072 22868355273 705696339 620725925 101.5875
6 63757411779 79561888210 82876357375 22728070462 676441478 619197298 101.7
6 63867837589 79528490477 82933933204 23240404826 722671166 610505529 101.8375
6 63787336484 78263081610 81375060723 22829421492 682151635 615022116 101.8
6 63819342853 79819841891 83236001128 22702297958 722162825 612741304 101.775
6 63904268906 86603459613 89394171046 21677204760 577132540 641398062 102.475
6 63911471926 87649131889 90089150824 16518344280 67815 866913372 104.4125
6 63880386119 87444218294 90130801880 15946684012 71421 885674284 105.3
6 63879442052 86918342753 89463282472 16031235569 67530 882186054 105.6
6 63910922199 88698640690 91553332693 15787649179 69971 851011149 105.85
6 63878957584 88325013656 91085111032 16121008337 68119 865090219 105.975
6 63975591500 87488082535 90000120964 16025440169 74358 874962498 106.0125
6 63975946587 87419764243 90003859484 14825480661 78151 809849262 106.1
7 58791107682 68881204595 76056927290 28855519273 1463054464 112965048 94.425
7 59130682178 68342812921 74860381789 29549112957 1481661776 118618775 95.675
7 59013895898 64625961123 69154479648 31688677741 1446324752 140307601 95.1875
7 59066065934 64510967957 69019642337 31730562558 1455425362 133411999 94.675
7 59095658813 64204763289 68677651778 32135919280 1441747014 134467605 94.4
7 59269027689 64437146082 68865478052 32109292016 1465725579 129902516 94.325
7 59057883111 63125540335 67551791477 34826227724 1433411260 116082854 94.35
7 59193649132 64185018894 68648213129 33544128200 1472354888 124139142 94.2
7 59324995405 64257671816 68765544229 31889567698 1452586895 132001507 94.1625
7 59234959751 63689528174 68169562186 32106363470 1456625759 129526013 94.0875
7 58983037655 62769584766 67145355061 34656093076 1466026590 116665354 94.0625
7 58948484748 59538230433 63799516059 35840709459 1447752973 112565127 94.1
7 59515862716 56489579860 60343632770 36951668174 1499307877 84265666 94.5375
7 59273860458 56584142053 60530170143 37524949461 1588527467 76410755 94.475
7 59129018424 56447230234 60351705005 37449836274 1600465235 74750952 94.1875
7 59322461356 56320591155 60181356476 38186307628 1600819252 71563492 94.2375
7 59119598128 56378173475 60362895339 37659087236 1581764346 74301121 94.225
7 43741272960 39878002643 42464840412 32731758043 1075025845 56272398 87.8875
7 16054244460 10991962096 11292445689 24877364921 169538381 19141397 68.8875
7 39917505186 36559439507 36858640648 20402302184 170992320 21573424 74.525
7 63834254146 62105540547 62373956225 29366831803 1013115544 54858818 92.45
7 63889778510 62287038804 62547731805 38029468939 1625906130 77652675 101.575
7 63917742988 62418135224 62678573128 37906701174 1626201765 77414497 101.9
7 63809568328 62376834422 62635683093 37923888553 1630075918 77339287 102.1375
7 63874562485 62502366870 62768318677 37914726664 1634169076 77373595 102.275
7 63880528636 62616546164 62868045307 37839734245 1634200181 77344087 102.3625
7 63962698837 62727867916 62979067923 37793361471 1639028624 77919757 102.425
7 63909611641 62684286390 62934428735 37805998895 1643848393 78253462 102.575
7 63833896957 62578805622 62834192123 37816327642 1648898568 78633603 102.65
7 63816587005 62484228392 62752330054 37854561011 1647871472 78465360 102.65
7 63844572800 62434822035 62710075560 37831579119 1652162554 78866545 102.6875
7 63916675431 62529513185 62809549700 37893921670 1653884257 79249684 102.7
7 63837464057 62596644509 62853224198 37929580344 1650944249 79311135 102.7375
7 63812323292 62712642847 62966396257 37778194203 1654054128 79734491 102.675
7 220636207 165415959 189618124 35360981882 1529781216 74200345 78.0125
8 63099708530 74412617398 78127125970 30673501463 1714267280 183000279 98.5375
8 63875648280 75400652780 79147149841 30608408595 1714974878 183101120 98.6
8 63936377749 75695974893 79430946131 30751262656 1730588189 180625515 98.6875
8 63883920770 75518553890 79253346017 30553934438 1712377620 186870271 98.8
8 63866188526 75484510195 79222977108 30562607615 1711674772 185592897 98.8125
8 63903154764 75509654493 79262353083 30757785506 1726719083 183995512 98.7375
8 63860036090 75432128173 79241709014 30684789517 1726002369 184904202 98.7125
8 63853242252 75338550836 79091819296 30638614450 1724557000 183980866 98.7375
8 63821823721 75645279550 79419791050 30622215727 1721590379 184309198 98.6875
8 63828257682 75240382874 78984358370 30676600306 1724974803 183226340 98.725
8 63912413835 75710253440 79458630831 30763556700 1733511314 182406673 98.7125
8 63822772009 75465440771 79187140174 30727990185 1727738626 182424058 98.7375
8 64033634328 75636678478 79401000451 30545250279 1712927804 183566464 98.8
8 63854890749 75459470287 79228510638 30652562050 1725344551 183392204 98.7875
8 63870613690 75547115279 79328829735 30651278586 1724737976 182577906 98.75
8 63861064889 75281714139 79021412590 30775619373 1731232720 183090910 98.7375
8 63843463787 75337427034 79082452404 30685993906 1728163017 181225529 98.7
8 63880828677 75596800432 79374680837 30531987102 1719845456 183738140 98.7625
8 63874578813 75613867382 79367240151 30684093595 1727244537 183243934 98.9
8 63844603568 75357624250 79083485252 30777942567 1731451615 180165849 98.8875
8 63821723922 75285890463 79025990563 30943256525 1744729101 179684425 98.8
8 63817489350 75108202433 78930646031 30518573547 1716654234 185109392 98.7625
8 63981775443 75582463313 79475702931 30579921778 1720067519 185277881 98.75
8 63838752178 75536341520 79259600199 30768082944 1735916098 181401820 98.8125
8 63874989893 75646017858 79369693759 30793973991 1738366091 180992500 98.7375
8 63872652049 75224212862 78964457308 30674583913 1724456700 182722170 98.725
8 63843723045 75451626855 79263851901 30633337782 1719080153 182616133 98.7625
8 63826649219 75539549181 79353184743 30655979296 1724103640 182802145 98.8
8 56723374849 60473437491 64857659576 32001676131 1786625320 107164728 92.0875
8 54674887339 57129465063 61751997272 32375772478 1785768157 74319105 89.3875
8 46832830804 48580415510 52414115671 28431728162 1568390672 62548270 82.3125
9 63270124277 70488159952 74207866179 29713516759 881570151 276382881 101.275
9 63491289879 71030468965 74782986902 30026432908 945845878 275703857 101.8125
9 63405243126 74015457287 77903072027 30289357635 964302266 207817638 101.9875
9 63209209361 74704273226 78736789557 30428602009 993011139 179148266 101.975
9 62930338631 73362627507 77390603019 30090014029 970820136 213580524 102.0625
9 63854610947 72440960434 76162924776 29628449952 904789862 278476126 102.3
9 63476275617 72121310969 75943527482 29146168926 897145907 302381937 102.375
9 63606651605 72091965924 75882889048 28947881505 892682444 322502859 102.45
9 63565530554 70352282696 73943205507 29633158136 883342178 337116261 102.475
9 63569392272 72359277894 76078623248 28745944826 883536798 347354069 102.4625
9 55688931280 58551694866 63057607602 31893281768 1627598768 111998223 91.4
9 55282708448 57386582221 61901716381 32719809134 1817632946 73273625 89.5375
9 55002132460 57295486103 61885476620 32494654020 1793768369 73528530 89.3875
9 55312632626 57425846932 61936899433 32823490965 1818045590 71781158 89.3375
9 55240850482 57411686279 62008901349 32483694061 1790736697 74127269 89.2625
9 55286870845 57413272665 61923576868 32679177274 1813424683 72557964 89.225
9 55150947813 57503151856 62109023767 32432423384 1790434987 72918892 89.1625
9 55076654035 57275226747 61775761582 32554329628 1814070083 69966946 89.0875
9 54708470620 57003741088 61597437682 32371236531 1787727495 71607543 89.0375
9 29250224075 30257651943 32639618981 16584811144 914113392 35731794 72.8125
10 58625045511 58654891872 64359843142 36486482443 1411182202 124142715 91.775
10 59451121901 57228541516 62563038515 37953825488 1410261663 129909606 94.3375
10 59017027303 55147670038 60239934119 38389012566 1421319780 123652717 93.8875
10 58986900062 54272457599 59221048208 38999325821 1428438034 120688407 93.5125
10 59133317828 53944615481 58792016646 39190631672 1425494325 116898695 93.2625
10 59232461760 54191645794 59035353092 39462742149 1422718043 118266854 93.1375
10 59105809878 53544457864 58387169193 39377929103 1410249573 115361003 93.1375
10 59212877423 53286220351 58010441167 39452062521 1435929880 117009522 93.1375
10 58934681280 53204410526 57990086256 39374743721 1419623176 116272893 93.125
10 58999863833 53826523583 58677356661 39618717478 1430310952 118591183 93.15
10 59599203614 52720892588 57367753122 39527039802 1430270662 111185285 93.1
10 61437049305 42830902954 47002330692 43994579448 1054057995 74814366 93.575
10 61597537705 43316498860 47480302646 44222743269 1062622391 71413817 94.025
10 61742616576 43197652089 47316031243 44374530328 1038161839 74000600 94.175
10 61571099618 43218853074 47348928982 44293735010 1043736586 72366848 94.275
10 61464172798 42361001490 46519831762 44270475561 1046462939 71138359 94.3
10 61797784251 43321674956 47444799223 44405330531 1043149826 70345148 94.3125
10 61943707686 42953145940 47076864267 44336573709 1051719534 69351836 94.2875
10 61541966842 43547574396 47760260492 44532505201 1020922055 63580112 94.35
10 61457566604 42640459626 46638773241 44708701137 1043317551 59922395 94.3125
10 62223165284 34611680608 38256371952 48228519646 640863712 50158378 94.5375
10 63235407058 22651948356 25724051736 53369209449 38458727 34476484 95.225
10 63126271209 22605956139 25671522356 53374615660 38630263 34108010 95.3875
10 63277724212 22658194096 25730327354 53402141256 37988933 33564221 95.6875
10 63185151371 22628800925 25696841928 53383558381 37991965 34645391 95.7
10 63342903557 22666008641 25738349224 53362901428 38219192 34786497 95.775
10 63246794386 22639642329 25708119705 53376743896 38329302 34034406 95.7375
10 63276924225 22656270730 25727048085 48629824329 23687959 23158355 90.1125
10 29768734470 8459755787 9626862841 39543695486 77197 9302315 74.75
10 16050373853 3379376368 3843664235 15221006305 77410 4566842 64.8
11 61350028900 56888582333 60039642565 39691447215 1124000667 69259467 95.525
11 61644725527 56272444265 59011186329 40597761688 1082493035 66508096 97.3375
11 61740933484 56355585538 59095437525 40658995201 1071991893 63062683 97.425
11 61585946578 56798412312 59556484524 40692782397 1079600064 55788645 97.4125
11 61664108920 56691678621 59413238162 40746595779 1088746495 51475952 97.4
11 61570762008 56941490800 59692781660 40832858440 1067834860 50084520 97.275
11 61610472319 57586319906 60368029841 40822615118 1107563956 49382563 97.275
11 61536872257 56814521118 59532530235 40686907710 1119773427 47736572 97.2625
11 61700327200 57167257807 59892235659 40663120806 1092551218 48715424 97.3125
11 61465638218 57779420259 60755049278 40191487382 1106278425 48375297 97.3375
11 61927500130 56721280148 59576988415 40361090126 1122713131 68537675 97.35
11 61444931136 56401654295 59149394748 40746099246 1059852761 68798940 97.3
11 61809973006 56611174598 59351772042 40668767510 1090931985 62712692 97.3625
11 61669824264 56557091051 59261167898 40753245339 1093048424 53109871 97.275
11 61678358370 56776203202 59471140400 40747755778 1103808094 52488500 97.15
11 61756859403 57099406981 59845740141 40799791137 1075642307 50644446 97.1375
11 61726303086 56279447687 58877833054 40865995678 1099221193 49157262 97.1625
11 61433412641 57669745935 60760968818 40319398643 1127847857 52049560 97.2625
11 61343238987 55675762997 58337362992 40572414326 1078578353 61692271 97.175
11 61918712583 56149250987 58774633084 40586230354 1123969063 59879463 97.0375
11 61925682641 56664776790 59388763410 40928885187 1089137677 54130012 97.0375
11 61723520295 56656119698 59387804015 40852817647 1068192102 51605776 97.05
11 61391614715 56999165811 59781524256 40896154138 1071078602 48736298 97.1375
11 61875584665 55584809941 57974544229 42196140409 903542306 38657416 97.1
11 63654127115 45098249555 45162536218 47926470909 71032921 5493070 98.075
11 59886269081 42923985273 43322499242 47402793720 63273577 16630006 97.525
11 63616670240 43012626317 43115824982 47832653430 66892909 38034954 98.5
11 63601092338 43099096163 43202549148 48002076333 67268374 27520822 98.9125
11 63543639138 44755212683 44820020129 47893587068 70350992 12340443 99.025
11 63572028792 44808111463 44875767239 47966510522 70240701 6505752 99.0875
11 62782906907 44890073207 45005908850 47565610623 67175361 4427605 97.6875
11 60779018017 41964864609 42350403418 47676069052 65334646 37086392 97.1875
11 63591939389 43134563085 43237797474 48092990811 67526255 24198441 98.8875
11 63552362867 44710257203 44776127333 47949784196 70629232 11368128 98.9375
11 63579620866 44847560061 44914369944 47960242674 70872477 6416475 98.975
11 54501576236 38843317434 38992059167 38741891133 55817602 5188322 93.1
12 31284664487 54611130826 62126781407 19852020158 50221918 211068942 84.2125
12 31891952165 56054368382 63785189518 19685859706 49828604 205861227 83.875
12 29519954889 51145620351 58216726387 18286569792 49167731 208617187 81.125
12 47988196736 55426801905 60758191675 33803597758 1078188227 117975246 89.2625
12 63993924694 65285314398 69801908308 36500573793 1445944708 86287925 95.725
12 63910999291 65843276786 70398432011 36475870467 1440473036 92657740 96.0875
12 63879641425 65230832407 69743791291 36496417580 1445415336 87056994 96.275
12 63943424516 65629075032 70169395075 36488394534 1437951352 96894276 96.2375
12 63879565495 65489867183 70020524652 36511875010 1441643969 93107159 96.2125
12 63879552427 65334626919 69854794954 36494911787 1445319917 87330332 96.2125
12 63975291181 67420626459 72084371477 36446653779 1384792871 166924025 96.0875
12 63878959309 67377950420 72038460018 36483187502 1385732593 167867183 95.925
12 63911127362 67473513302 72140551077 36444104893 1384757828 167284145 95.9625
12 63911207101 67508598924 72177988836 36526155620 1433157413 105076541 96.1875
12 63879518389 67245798970 71897185848 36615399130 1476848102 50793804 96.5375
12 63911594817 67341379783 71999476106 36550117297 1478780057 44093686 96.65
12 63975145366 67405994214 72068515579 36559623148 1478922282 44986465 96.6875
12 63850258715 65511356025 70043796300 36546324594 1451555027 81255277 96.5625
12 63850908220 65417554854 69943436256 36508970564 1432844193 104707966 96.2375
12 63911299815 65474390307 70004294557 36506539311 1431439868 106552128 96.1375
12 63911880870 65456565948 69985055851 36470256505 1432108687 103918825 96.0875
