"WK" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "UNHALTED_CLK_CYCLES" "POWER"
4 278254270 1266027517 838899552 17570599 36406688874 159814105447 25017258554 25700474945 64596292 679527910 1015179723 68507990622 35.62462
4 279818171 1265191988 837767408 17571358 36478985120 164667584700 25722354026 26488240080 68981384 647798823 1164694933 69696429783 38.24956
4 675313070 3201227564 2169423680 36995571 97061927747 164796993016 25693957687 26442450593 69072640 649106352 1170488496 69865681701 38.49963
4 295658979 1323204096 872267712 17962571 37686492232 163185716178 25507217031 26230209082 67970632 649851499 1124875953 69231408039 38.74963
4 258351456 1213827590 815047348 16292001 36034561948 161416719723 25329393389 26121884051 66219300 690305041 1040020834 69238410436 38.49963
4 913464468 4280746635 2883757896 48665848 127901475019 164728608138 25734665691 26418662565 68884382 650675075 1161432216 69827336053 38.6246
4 896365891 4258673722 2885703025 48073874 129132348359 164045971171 25596800730 26355979698 69040993 645054973 1166131361 69596224080 38.4996
4 973926484 4405649526 2917881548 52147244 125529203102 162988825714 25567428930 26241110682 67798030 658002830 1123338479 69408202680 38.37463
4 762455740 3634506147 2463935313 40336775 110672537221 161454616451 25295755365 26030436178 65913113 689257347 1044115513 69096496804 38.37464
4 676552358 3190865229 2153379441 35918470 96062976104 163622600401 25501196329 26261273516 68465942 634252957 1170452531 69339793956 2.30582e+18
4 739025131 3327448864 2198905884 39769638 94674121516 129580696835 20352853503 20995835713 54411267 504008009 928393876 54988058074 38.37467
4 886345253 4198419810 2842315606 49289099 126997115313 45567913176 7195397609 7552491414 20825215 183765852 313767928 19715193167 38.49956
5 626886402 6264679051 5616577223 102867588 54376790518 102234571092 20642198197 24639599722 52535542 65989349 375022017 62809118648 33.62458
5 565910891 5880514178 5275229974 123351267 51635067203 93592058868 17630560387 22127672979 46501995 36698096 281010384 59181071619 33.37468
5 1170376139 8557216328 7788040162 282528828 71308294620 77436006135 15140037876 20590027141 22146984 64177091 256326359 54004632206 34.49958
5 542227920 4587892384 4162167159 133919153 38563997303 90490990084 17306032139 22333749587 22196492 76237102 271543224 57408997716 33.37467
5 808599774 6896138613 6240638831 201453938 59428641525 119420875746 24087698344 29114469722 23901130 123994400 344017160 70965406377 33.74968
5 1041693454 9430671172 8492378600 272833540 83080437751 81655702168 17163697095 23636970941 32115781 54681501 256589045 60477297057 32.74967
5 532194045 6281279861 5622375169 138814159 57140524079 95871553780 20580083594 27158067334 44853231 70342647 322364511 69288632757 33.1247
5 668756734 6784282880 6077941590 197147132 59566504584 107427904932 22553978011 28984247433 74019689 57515767 416280072 74671576104 32.62468
5 905121494 8468929507 7598930162 276858737 73162237491 140789560042 29282634306 34592912152 63026915 107143359 471402404 87389864744 33.24967
5 2084642703 12956399097 11746482535 653448955 97879398446 90588584640 17826426571 22550685669 59541543 44147233 298850770 59013825877 33.24968
5 2804455311 15469323218 14125203280 840307012 114975913104 64091534098 11235443455 15605922974 51392302 6764363 232265339 44642433444 33.62468
5 3003591980 15763543091 14477243487 826922885 118814898387 64381570770 10836533614 15239686825 40756180 6653558 188314147 44077020829 35.74967
5 3049152706 15781648123 14524264171 817528708 119417073944 65564349254 10951383202 15262894802 39170377 6784910 171287476 44465670044 35.49965
5 2926325767 15550563503 14270709858 834951087 116801250534 66293356781 10974858867 15365735604 35984153 6440241 169991280 44735664393 35.37465
